0,1543
1,1387
2,1411
3,1477
4,1331
5,1502
6,1479
7,1362
8,1326
9,1356
Microsoft,7028
Carnegie Mellon University,5170
IBM,3363
Massachusetts Institute of Technology,3198
Stanford University,2949
Tsinghua University,2935
University of Illinois at Urbana?Champaign,2730
University of California  Berkeley,2663
University of Washington,2487
Chinese Academy of Sciences,2311
Google,2241
Georgia Institute of Technology,2240
University of Texas at Austin,2086
National University of Singapore,1985
University of Michigan,1914
Cornell University,1836
University of Toronto,1628
Princeton University,1545
Peking University,1499
University of Wisconsin-Madison,1475
