0,1487
1,1086
2,1153
3,1031
4,992
5,1037
6,1087
7,985
8,933
9,1060
User-defined gestures for surface computing.,991
Poselets: Body part detectors trained using 3D human pose annotations.,991
Differences in the mechanics of information diffusion across topics: idioms, political hashtags, and complex contagion on twitter.,986
Large scale metric learning from equivalence constraints.,982
Reach.,981
PowerNap: eliminating server idle power.,978
Inferring networks of diffusion and influence.,973
Efficient Fully Homomorphic Encryption from (Standard) LWE.,968
Predicate Encryption Supporting Disjunctions, Polynomial Equations, and Inner Products.,960
Dynamic provable data possession.,956
Domain Adaptation for Large-Scale Sentiment Classification: A Deep Learning Approach.,952
P4p: provider portal for applications.,951
Discriminative K-SVD for dictionary learning in face recognition.,949
Three things everyone should know to improve object retrieval.,947
Understanding, scoping and defining user experience: a survey approach.,946
Hive - a petabyte scale data warehouse using Hadoop.,945
Fast visibility restoration from a single color or gray level image.,942
Decision tree fields.,941
Software Persistent Memory.,941
Learning hierarchical invariant spatio-temporal features for action recognition with independent subspace analysis.,936
